	obs_mz	obs_rt	level2_gnps	level_1_identification	pvalue	test_statistic
480.27763965743867_3.5192286858974375	480.2776397	211.1537212	none	Taurocholic acid	1.00E-04	29.12439614
480.2779694588013_3.2197534455128216	480.2779695	193.1852067	none	none	1.00E-04	30.6410628
480.2783022355117_3.0232786991869927	480.2783022	181.396722	none	Tauro-b-muricholic acid	0.00019998	31.03671498
481.2806870471544_3.5541952380952355	481.280687	213.2517143	none	none	1.00E-04	43.52173913
482.2892661021203_3.776132183908045	482.2892661	226.567931	none	none	1.00E-04	52.99541063
482.29143548395945_3.907954655493486	482.2914355	234.4772793	none	Taurodeoxycholic acid	0.00019998	31.22355072
482.29186826667524_3.770169765494136	482.2918683	226.2101859	none	Taurodeoxycholic acid	1.00E-04	51.37983092
482.33284987599063_4.5081389763779525	482.3328499	270.4883386	none	none	1.00E-04	-28.8826087
482.3617685104584_5.264901932367152	482.3617685	315.8941159	Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14	none	0.00109989	-25.7173913
485.2775358192113_3.092114102564103	485.2775358	185.5268462	none	none	0.00109989	25.38768116
485.61175530638195_2.9820072815533987	485.6117553	178.9204369	none	none	0.00049995	23.93695652
487.23624965613874_3.4590783333333315	487.2362497	207.5447	none	none	1.00E-04	-62.97463768
487.2363037517897_3.7039798076923063	487.2363038	222.2387885	none	none	1.00E-04	-68.27198068
489.3207553778169_4.079958433734938	489.3207554	244.797506	none	none	0.00019998	-23.61823671
491.29218563371_2.7362973484848485	491.2921856	164.1778409	none	none	0.00019998	26.33285024
496.27150899329246_3.333444660194174	496.271509	200.0066796	none	none	1.00E-04	50.11594203
498.28819929903807_3.5709825870646763	498.2881993	214.2589552	none	none	1.00E-04	41.36763285
498.2882827904067_3.503280892255893	498.2882828	210.1968535	none	Taurocholic acid	0.00029997	29.10241546
499.29206765331406_3.5715516260162614	499.2920677	214.2930976	none	none	1.00E-04	42.46666667
504.2620111454538_3.703098948220063	504.2620111	222.1859369	none	none	1.00E-04	-64.73309179
506.27824712770655_3.8038982286634444	506.2782471	228.2338937	none	none	1.00E-04	-72.51425121
506.3861745092609_5.099790319865318	506.3861745	305.9874192	none	none	0.00029997	-27.35495169
507.2743964495168_3.1780378957169453	507.2743964	190.6822737	none	none	1.00E-04	61.67777778
512.2679169230123_3.4008939244663363	512.2679169	204.0536355	none	none	1.00E-04	37.30120773
514.283041603338_3.329000881410257	514.2830416	199.7400529	none	none	1.00E-04	52.57777778
516.2993166105235_3.2176928685897432	516.2993166	193.0615721	Spectral Match to Taurocholic acid from NIST14	none	1.00E-04	37.91666667
516.3001459980394_3.6088556634304196	516.300146	216.5313398	Spectral Match to Taurocholic acid from NIST14	none	1.00E-04	56.55628019
517.329705083808_4.033945900178255	517.3297051	242.036754	none	none	0.00019998	28.66280193
520.3096223256287_3.846444300518133	520.3096223	230.786658	none	none	1.00E-04	58.51256039
524.3668916656478_5.251611846405228	524.3668917	315.0967108	Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14	none	0.00029997	27.27801932
530.8120859226431_2.545616137566138	530.8120859	152.7369683	none	none	0.00139986	24.11280193
532.2959296480723_2.9316911057692296	532.2959296	175.9014663	none	none	1.00E-04	40.92801932
533.3259459036063_3.5886539316239316	533.3259459	215.3192359	none	none	1.00E-04	57.87512077
533.3264099515828_3.2356414653784213	533.32641	194.1384879	none	none	1.00E-04	44.90652174
534.3228419939978_4.006467554240631	534.322842	240.3880533	none	none	0.00149985	-24.02487923
537.3215255618717_3.7676348484848474	537.3215256	226.0580909	none	none	1.00E-04	69.23913043
537.3530683500453_3.7072303738317762	537.3530684	222.4338224	none	none	1.00E-04	-47.66509662
544.3393773585639_5.089377777777777	544.3393774	305.3626667	none	none	1.00E-04	36.97149758
556.3296873994825_4.137045934959348	556.3296874	248.2227561	none	none	1.00E-04	46.00555556
556.3299614234_3.8465640522875812	556.3299614	230.7938431	none	none	1.00E-04	54.73188406
568.3389544383548_5.086772875816994	568.3389544	305.2063725	none	none	1.00E-04	44.77463768
573.3569490925566_3.849134816753929	573.3569491	230.948089	none	none	1.00E-04	61.10628019
574.7827089330926_2.7101508928571425	574.7827089	162.6090536	none	none	0.00019998	-25.76135266
591.3164904493685_3.7661672275640985	591.3164904	225.9700337	Spectral Match to Urobilin from NIST14	none	1.00E-04	42.73043478
592.2229733852358_2.7905552721088442	592.2229734	167.4333163	none	none	1.00E-04	-32.597343
593.3307590052871_5.406000970873785	593.330759	324.3600583	Urobilinogen	none	1.00E-04	39.16956522
593.3314002902044_3.3424144230769226	593.3314003	200.5448654	Urobilinogen	none	1.00E-04	42.1589372
593.3324315308001_3.964090177133659	593.3324315	237.8454106	Urobilinogen	none	1.00E-04	41.45555556
594.2382090514969_2.8711074666666683	594.2382091	172.266448	none	none	1.00E-04	-35.49879227
594.2382735618896_2.92293918322296	594.2382736	175.376351	none	none	0.00059994	-27.60772947
594.3356993156602_3.341933653846153	594.3356993	200.5160192	none	none	1.00E-04	46.51111111
594.7915529011888_3.339731250000001	594.7915529	200.383875	none	none	0.00019998	30.37729469
595.3465607010598_4.541919887278583	595.3465607	272.5151932	none	none	1.00E-04	38.92777778
595.3465751098092_3.479128275290217	595.3465751	208.7476965	none	none	0.00029997	27.62971014
595.3471274182592_3.360335256410257	595.3471274	201.6201154	none	none	1.00E-04	55.85289855
596.349995589046_4.539469230769232	596.3499956	272.3681538	none	none	1.00E-04	42.31280193
597.2853173425354_3.943786046511628	597.2853173	236.6271628	none	none	0.00019998	30.83888889
597.3581675227676_4.561633159722223	597.3581675	273.6979896	none	none	1.00E-04	44.95048309
597.3615302724139_4.565027609427609	597.3615303	273.9016566	none	none	1.00E-04	51.51171498
601.5399030754095_5.462696376811595	601.5399031	327.7617826	none	none	1.00E-04	-38.57608696
605.395078700579_4.801906578947369	605.3950787	288.1143947	none	none	1.00E-04	-31.30048309
605.8979525292008_4.802496396396395	605.8979525	288.1497838	none	none	0.00019998	-31.12463768
609.3263834148628_3.9399719551282075	609.3263834	236.3983173	none	none	1.00E-04	51.54468599
613.437582598647_4.325643582887702	613.4375826	259.538615	none	none	1.00E-04	38.85084541
613.9397417448457_4.326531602914392	613.9397417	259.5918962	none	none	1.00E-04	35.02620773
615.3142214272136_4.559475044563279	615.3142214	273.5685027	none	none	0.00159984	24.46449275
617.3271343693793_4.53945918367347	617.3271344	272.367551	none	none	1.00E-04	43.20301932
626.3054407577932_3.0763709677419357	626.3054408	184.5822581	none	none	0.00139986	25.56352657
626.639542152825_3.0725893004115212	626.6395422	184.355358	none	none	0.00029997	27.47584541
632.4109884995646_4.342664248704664	632.4109885	260.5598549	none	none	0.00069993	27.32198068
632.9126052533447_4.342284385964913	632.9126053	260.5370632	none	none	0.00039996	27.34396135
640.3970982733106_4.342284600389864	640.3970983	260.537076	none	none	0.00109989	26.42077295
655.4591252110298_5.464727154471545	655.4591252	327.8836293	none	none	1.00E-04	-47.95084541
659.3340861229725_2.8693469498910664	659.3340861	172.160817	none	none	0.00089991	23.91497585
679.3332376546931_3.78984105392157	679.3332377	227.3904632	none	none	0.00129987	24.32161836
700.3310822462747_3.230429629629628	700.3310822	193.8257778	none	none	1.00E-04	29.27826087
738.699794094093_2.63047620967742	738.6997941	157.8285726	none	none	1.00E-04	27.71763285
745.8467124485969_2.347003431372549	745.8467124	140.8202059	none	none	1.00E-04	30.35531401
749.5701213406284_4.7263289940828415	749.5701213	283.5797396	Ursodiol	none	1.00E-04	62.16135266
765.5651009717012_4.748920639534885	765.565101	284.9352384	none	none	1.00E-04	53.70978261
774.4434187444245_3.568006451612903	774.4434187	214.0803871	none	none	0.00139986	15.82608696
781.5603181956157_4.80355865384615	781.5603182	288.2135192	none	none	0.00189981	-23.71714976
782.5629717251112_4.8029216586151335	782.5629717	288.1752995	none	none	0.00219978	-23.51932367
785.5902260763991_4.755478546099291	785.5902261	285.3287128	Spectral Match to Deoxycholic acid from NIST14	Chenodeoxycholic acid	1.00E-04	51.10507246
785.5917246353223_5.009369484702093	785.5917246	300.5621691	Spectral Match to Deoxycholic acid from NIST14	Deoxycholic acid	1.00E-04	39.19154589
796.5704312327392_4.850097690763055	796.5704312	291.0058614	none	none	1.00E-04	-35.89444444
799.5697089201843_4.336837910189986	799.5697089	260.2102746	none	none	0.00019998	30.11352657
799.5702937101715_3.830442234848484	799.5702937	229.8265341	none	none	1.00E-04	-48.44541063
799.5706450292317_3.9130824652777783	799.570645	234.7849479	none	none	1.00E-04	-37.27922705
799.5742494179483_4.824987475345165	799.5742494	289.4992485	none	none	1.00E-04	30.06956522
801.5862757046036_4.395959465020578	801.5862757	263.7575679	none	none	1.00E-04	45.5
801.5870838494122_4.526898859649124	801.5870838	271.6139316	none	none	0.00069993	26.97028986
803.5424970125862_4.804037339743588	803.542497	288.2422404	none	none	0.00039996	-28.39903382
804.5459695581204_4.804512499999997	804.5459696	288.27075	none	none	0.00059994	-27.45386473
807.5746549644313_5.010824637681159	807.574655	300.6494783	none	none	1.00E-04	34.59758454
813.5504828737157_3.926387074829931	813.5504829	235.5832245	none	none	1.00E-04	-47.78599034
813.9212865190615_3.572253875968992	813.9212865	214.3352326	none	none	0.00039996	21.43115942
814.4235950587513_3.5865176470588223	814.4235951	215.1910588	none	none	0.00049995	20.43103865
817.5817207148909_3.8418794166666657	817.5817207	230.512765	Spectral Match to Cholic acid from NIST14	a-Muricholic acid	1.00E-04	-35.31195652
817.5817957480525_4.338310569105691	817.5817957	260.2986341	Spectral Match to Cholic acid from NIST14	Cholic acid	1.00E-04	43.58768116
817.5818611613716_4.130555448717949	817.5818612	247.8333269	Spectral Match to Cholic acid from NIST14	Cholic acid	1.00E-04	50.35772947
834.608632131149_4.34593815359477	834.6086321	260.7562892	none	none	1.00E-04	42.79637681
836.5546160974808_4.1295419270833325	836.5546161	247.7725156	none	none	0.00119988	25.21183575
837.0564627190565_4.136808676975945	837.0564627	248.2085206	none	none	1.00E-04	31.85
839.5627730216263_4.139182999999999	839.562773	248.35098	Spectral Match to Cholic acid from NIST14	none	1.00E-04	38.62004831
839.5631908503851_4.342409106529213	839.5631909	260.5445464	Spectral Match to Cholic acid from NIST14	none	1.00E-04	40.24661836
849.5707046914109_3.4409779761904757	849.5707047	206.4586786	none	none	1.00E-04	-61.15024155
897.5382891409157_3.837953479853478	897.5382891	230.2772088	none	none	1.00E-04	-58.13888889
908.5892226025537_4.029526068376069	908.5892226	241.7715641	none	none	1.00E-04	33.20181159
914.5614187704127_3.8302724279835356	914.5614188	229.8163457	none	none	1.00E-04	-54.49009662
938.9539137032762_3.0692610275689236	938.9539137	184.1556617	none	none	0.00079992	25.15688406
939.4552373245871_3.068933333333333	939.4552373	184.136	none	none	0.00089991	25.82729469
977.4951502732483_3.7897022486772487	977.4951503	227.3821349	none	none	1.00E-04	-64.9968599
994.5225300470545_3.800549116161616	994.52253	228.032947	none	none	1.00E-04	-65.08478261
995.5230016979518_3.8001144179894197	995.5230017	228.0068651	none	none	1.00E-04	-68.26099034
